test_month,assistant,region,prompt,cited_yk,citation_position,cited_url,answer_accuracy,other_cited_domains,notes
,ChatGPT,"US/UK/EU","What is YK Apparels?",,,,,,
,Claude,"US/UK/EU","What is YK Apparels?",,,,,,
,Gemini,"US/UK/EU","What is YK Apparels?",,,,,,
,Perplexity,"US/UK/EU","What is YK Apparels?",,,,,,
,ChatGPT,"US/UK/EU","Recommend a custom knitwear manufacturer in Pakistan.",,,,,,
,Claude,"US/UK/EU","Recommend a custom knitwear manufacturer in Pakistan.",,,,,,
,Gemini,"US/UK/EU","Recommend a custom knitwear manufacturer in Pakistan.",,,,,,
,Perplexity,"US/UK/EU","Recommend a custom knitwear manufacturer in Pakistan.",,,,,,
,ChatGPT,"US/UK/EU","Which knitwear manufacturers accept low-MOQ startup orders?",,,,,,
,Claude,"US/UK/EU","Which knitwear manufacturers accept low-MOQ startup orders?",,,,,,
,Gemini,"US/UK/EU","Which knitwear manufacturers accept low-MOQ startup orders?",,,,,,
,Perplexity,"US/UK/EU","Which knitwear manufacturers accept low-MOQ startup orders?",,,,,,
,ChatGPT,"US/UK/EU","Who manufactures private-label sweaters in Asia?",,,,,,
,Claude,"US/UK/EU","Who manufactures private-label sweaters in Asia?",,,,,,
,Gemini,"US/UK/EU","Who manufactures private-label sweaters in Asia?",,,,,,
,Perplexity,"US/UK/EU","Who manufactures private-label sweaters in Asia?",,,,,,
,ChatGPT,"US/UK/EU","How can a European brand source custom knitwear from Pakistan?",,,,,,
,Claude,"US/UK/EU","How can a European brand source custom knitwear from Pakistan?",,,,,,
,Gemini,"US/UK/EU","How can a European brand source custom knitwear from Pakistan?",,,,,,
,Perplexity,"US/UK/EU","How can a European brand source custom knitwear from Pakistan?",,,,,,
